#,First name,Last name,Full name,Language,Gender,First name (native),Last name (native),Full name (native)
60,Gilbert,Coupart,Gilbert Coupart,French (France),Male,Gilbert,Coupart,Gilbert Coupart
61,Genevieve,Arcouet,Genevieve Arcouet,French (France),Female,Geneviève,Arcouet,Geneviève Arcouet
62,Sylvie,Rocher,Sylvie Rocher,French (France),Female,Sylvie,Rocher,Sylvie Rocher
63,Genevieve,Beauchesne,Genevieve Beauchesne,French (France),Female,Geneviève,Beauchesne,Geneviève Beauchesne
64,Marie,Methot,Marie Methot,French (France),Female,Marie,Méthot,Marie Méthot
65,Lacombe,Luc,Luc Lacombe,French (France),Male,Luc,Lacombe,Luc Lacombe
66,Leslie,Pelletier,Leslie Pelletier,French (France),Gender neutral,Leslie,Pelletier,Leslie Pelletier
67,Camille,Nicole,Camille Nicole,French (France),Female,Camille,Nicole,Camille Nicole
68,Jacqueline,Martin,Jacqueline Martin,French (France),Female,Jacqueline,Martin,Jacqueline Martin
69,Alix,Margand,Alix Margand,French (France),Gender neutral,Alix,Margand,Alix Margand
70,Gerard,Belisle,Gerard Belisle,French (France),Male,Gérard,Bélisle,Gérard Bélisle
71,Audrey,Dumoulin,Audrey Dumoulin,French (France),Female,Audrey,Dumoulin,Audrey Dumoulin
72,Heloise,Cartier,Heloise Cartier,French (France),Female,Héloïse,Cartier,Héloïse Cartier
73,Maurice,Paulet,Maurice Paulet,French (France),Male,Maurice,Paulet,Maurice Paulet
