CustomerTypeId,IsActive,DateOfBirth,CustomerEstablishedDate,CreatedBy,CustomerRelationshipTypeId,PrimaryPhone,SecondaryPhone
Individual,FALSE,2/14/1990,8/9/2024,Sales,VIP,(956) 555-0173,
Business,FALSE,12/4/1921,3/4/2020,Sales,Premium,(731) 555-0192,
Individual,TRUE,12/7/1956,1/19/2023,Sales,Premium,(440) 555-0142,
Individual,FALSE,6/15/1975,2/14/2023,Sales,VIP,+81 1000009,
Individual,TRUE,11/26/1957,3/4/2025,Sales,Premium,(516) 555-0103,
Individual,TRUE,2/4/1974,9/23/2020,Sales,VIP,(207) 555-0131,
Business,TRUE,9/7/1995,1/19/2025,Sales,Standard,(925) 555-0139,(815) 555-0197
Individual,FALSE,11/20/1979,9/4/2024,Sales,Standard,(815) 555-0173,
Government,TRUE,4/22/1961,5/1/2024,Services,Premium,(503) 555-0162,
Business,TRUE,1/30/2005,3/9/2023,Sales,Standard,(574) 555-0142,
Individual,TRUE,5/15/1980,9/2/2020,Sales,Premium,+39 1000010,
Individual,TRUE,6/19/1988,8/11/2024,Sales,Premium,(989) 555-0182,
Business,TRUE,11/1/2005,11/16/2024,Sales,Standard,(775) 555-0169,
Business,TRUE,2/3/1970,1/29/2021,Sales,Premium,(720) 555-0183,
Business,TRUE,8/12/1983,2/19/2024,Sales,Standard,(862) 555-0110,(682) 555-0110
Business,TRUE,11/8/1964,4/20/2021,Sales,VIP,(203) 555-0108,
Individual,TRUE,1/29/1983,3/20/2024,Services,Premium,(414) 555-0113,
Individual,TRUE,11/14/1993,9/3/2022,Sales,VIP,(504) 555-0172,
Individual,TRUE,3/29/2001,4/22/2023,Sales,Standard,(409) 555-0146,(304) 555-0118
Business,TRUE,8/28/1955,11/9/2022,Sales,Standard,(904) 555-0186,
Individual,FALSE,9/30/1930,7/11/2021,Services,Standard,(843) 555-0124,(870) 555-0153
Individual,TRUE,12/20/1991,10/14/2022,Sales,Premium,(430) 555-0140,(267) 555-0152
Individual,TRUE,9/28/1970,3/27/2024,Sales,Premium,(508) 555-0147,(503) 555-0104
Individual,TRUE,5/21/1954,5/24/2024,Sales,VIP,(443) 555-0174,(954) 555-0102
Individual,TRUE,11/13/2000,4/1/2024,Sales,Premium,(775) 555-0144,
Business,TRUE,2/18/1987,6/1/2022,Sales,Standard,(769) 555-0163,
Individual,TRUE,6/11/1977,5/26/2020,Sales,Premium,(907) 555-0175,
Business,TRUE,12/6/1975,10/27/2021,Sales,Standard,(318) 555-0174,(616) 555-0181
Individual,TRUE,6/19/1939,8/20/2023,Sales,Standard,(857) 555-0117,
Individual,TRUE,12/25/1991,9/11/2021,Sales,Premium,+55 1000011,
Business,TRUE,6/22/1993,11/6/2024,Services,Standard,+91 1000012,(949) 555-0189
Business,TRUE,10/8/1975,3/30/2022,Services,VIP,(847) 555-0147,
Individual,TRUE,2/1/1975,5/13/2022,Sales,VIP,(715) 555-0176,(715) 555-0172
Business,TRUE,1/13/1995,8/4/2021,Sales,VIP,(860) 555-0101,
Individual,TRUE,7/2/1986,10/19/2022,Sales,Standard,(951) 555-0178,
Individual,TRUE,10/18/1924,11/25/2021,Sales,Premium,(913) 555-0162,
Individual,TRUE,7/12/1966,11/20/2024,Sales,Premium,(336) 555-0111,
Individual,TRUE,3/27/1997,6/5/2023,Sales,Premium,(305) 555-0116,
Individual,TRUE,9/7/2002,1/30/2023,Sales,Premium,(978) 555-0184,(863) 555-0106
Individual,TRUE,2/12/1967,5/29/2024,Services,Standard,(419) 555-0179,
Individual,FALSE,12/30/1958,12/11/2023,Sales,Standard,(510) 555-0192,
Individual,FALSE,11/7/1961,5/24/2023,Sales,VIP,(463) 555-0129,
Individual,TRUE,4/6/1992,2/10/2021,Sales,Premium,(920) 555-0173,(339) 555-0103
Government,TRUE,3/31/1982,2/2/2021,Sales,Standard,(703) 555-0136,(609) 555-0192
Individual,FALSE,11/18/1966,12/15/2021,Sales,Premium,(814) 555-0146,
Individual,TRUE,12/13/1985,12/4/2021,Sales,Standard,(931) 555-0176,(609) 555-0115
Business,TRUE,10/19/1957,1/30/2022,Sales,Premium,(337) 555-0136,
Individual,TRUE,8/29/1946,5/13/2021,Sales,Premium,(954) 555-0119,
Individual,TRUE,3/12/1953,11/12/2024,Sales,VIP,(630) 555-0101,
Individual,TRUE,3/22/1990,1/28/2024,Sales,Premium,(928) 555-0117,
Individual,TRUE,9/27/1952,9/10/2024,Sales,Standard,(254) 555-0144,
Government,TRUE,3/3/1998,8/31/2022,Sales,Premium,(267) 555-0112,(904) 555-0196
Business,TRUE,1/7/1954,10/20/2024,Sales,Standard,(804) 555-0199,(858) 555-0153
Individual,TRUE,5/31/1978,3/22/2020,Sales,Standard,+39 1000013,
Business,TRUE,4/5/1984,8/26/2021,Sales,Premium,(817) 555-0118,+33 2000002
Business,TRUE,4/28/1964,9/6/2024,Sales,Standard,(508) 555-0178,
Individual,TRUE,3/9/1959,11/9/2024,Sales,Premium,(210) 555-0131,
Business,FALSE,2/4/1955,2/10/2022,Sales,Premium,(206) 555-0119,
Individual,TRUE,4/6/1974,6/21/2022,Services,Standard,(386) 555-0136,
Business,TRUE,3/26/1957,12/30/2020,Sales,Premium,(972) 555-0176,
Business,TRUE,3/13/1938,6/11/2020,Services,Standard,+55 1000014,(320) 555-0171
Individual,TRUE,1/3/1987,12/7/2022,Services,VIP,(351) 555-0118,
Individual,TRUE,7/10/1972,5/25/2021,Sales,Standard,(619) 555-0134,
Individual,TRUE,2/23/1994,9/14/2023,Sales,Standard,(716) 555-0130,(910) 555-0192
Individual,TRUE,9/30/1970,2/6/2025,Sales,Standard,(704) 555-0131,
Business,TRUE,8/7/1961,4/25/2020,Sales,Standard,(573) 555-0101,(205) 555-0194
Business,TRUE,7/6/2006,7/29/2022,Sales,Standard,(929) 555-0195,
Individual,TRUE,9/28/1983,2/15/2025,Sales,Standard,+81 1000015,
Individual,TRUE,5/31/1971,12/2/2020,Sales,Standard,+86 1000016,
Individual,TRUE,8/4/1996,5/30/2022,Sales,VIP,(205) 555-0170,
Individual,TRUE,11/10/1935,1/6/2022,Sales,Premium,(432) 555-0180,
Individual,FALSE,10/29/1994,3/2/2025,Sales,Premium,+44 1000017,
Individual,TRUE,9/1/1978,4/19/2022,Services,Standard,(704) 555-0170,
Government,TRUE,11/12/2000,5/26/2020,Sales,Premium,(941) 555-0103,+91 2000003
Individual,TRUE,4/28/1954,5/17/2024,Sales,Premium,(985) 555-0149,
Individual,TRUE,5/12/1971,1/3/2025,Sales,Premium,(725) 555-0111,
Business,TRUE,8/12/1959,9/8/2023,Sales,Standard,(951) 555-0153,
Individual,TRUE,6/12/1961,3/18/2021,Services,Standard,(601) 555-0101,
Government,TRUE,2/14/1988,4/16/2022,Sales,Premium,(254) 555-0183,
Government,TRUE,4/26/1971,11/2/2022,Services,Premium,(947) 555-0195,
Individual,TRUE,3/6/1953,7/31/2022,Sales,Standard,(985) 555-0196,(352) 555-0197
Individual,TRUE,1/17/2003,2/26/2024,Sales,Premium,(304) 555-0146,
Individual,TRUE,10/20/1996,9/20/2024,Sales,Premium,(765) 555-0121,(870) 555-0190
Individual,TRUE,11/11/1926,10/13/2020,Sales,Standard,(856) 555-0126,
Individual,TRUE,2/25/1983,12/20/2021,Services,Standard,(626) 555-0131,
Individual,TRUE,11/18/1952,2/11/2023,Sales,VIP,(214) 555-0139,
Individual,TRUE,4/23/1970,4/24/2021,Sales,Standard,(740) 555-0109,(608) 555-0103
Individual,FALSE,4/16/1963,1/22/2020,Sales,Standard,(812) 555-0147,
Individual,TRUE,7/8/1922,10/4/2023,Sales,Premium,(330) 555-0165,
Government,TRUE,7/8/1949,10/15/2024,Sales,Standard,(518) 555-0135,
Individual,TRUE,5/15/1970,11/13/2021,Sales,Standard,(619) 555-0156,(862) 555-0194
Individual,TRUE,1/23/1974,2/1/2025,Sales,Standard,+34 1000018,
Individual,TRUE,10/30/1939,5/8/2024,Sales,Standard,(520) 555-0123,
Government,TRUE,10/8/1991,6/24/2022,Sales,VIP,(501) 555-0177,
Individual,TRUE,12/27/1959,1/7/2025,Sales,Premium,(785) 555-0113,
Individual,TRUE,4/1/1936,11/15/2020,Sales,Premium,(608) 555-0169,
Business,TRUE,5/16/1977,5/5/2020,Services,Premium,(231) 555-0177,
Individual,FALSE,12/2/1982,10/3/2020,Sales,Premium,(786) 555-0195,
Business,TRUE,9/1/1944,5/12/2023,Sales,Standard,(630) 555-0119,
Individual,TRUE,9/21/1960,7/12/2020,Sales,Standard,+49 1000019,
Individual,TRUE,11/4/1967,8/31/2024,Sales,Standard,(517) 555-0115,
Individual,FALSE,4/6/1970,8/14/2024,Sales,Standard,(607) 555-0177,
Individual,TRUE,2/13/1974,4/19/2024,Sales,Standard,(762) 555-0169,(725) 555-0185
Individual,TRUE,11/1/1989,11/26/2021,Sales,Premium,(414) 555-0113,
Business,FALSE,7/25/1954,8/2/2023,Sales,Premium,(309) 555-0131,
Individual,FALSE,12/26/2007,2/26/2020,Sales,Premium,(650) 555-0153,
Individual,FALSE,3/28/1987,10/23/2024,Sales,Standard,+33 1000020,
Individual,TRUE,1/17/1975,8/19/2023,Sales,Premium,(951) 555-0186,(727) 555-0194
Individual,TRUE,10/11/1970,4/1/2023,Sales,Standard,(762) 555-0178,
Individual,TRUE,10/2/1962,1/19/2020,Sales,VIP,+34 1000021,(410) 555-0178
Individual,FALSE,5/26/2005,10/25/2023,Sales,Standard,(929) 555-0191,
Individual,TRUE,6/28/1948,9/20/2020,Sales,Standard,(717) 555-0186,
Individual,TRUE,9/12/1982,3/4/2022,Sales,Standard,(870) 555-0183,
Individual,TRUE,5/15/1960,4/22/2020,Sales,Standard,(740) 555-0128,
Individual,TRUE,11/16/1993,2/20/2024,Sales,Standard,(432) 555-0121,
Individual,TRUE,2/12/1962,9/12/2023,Sales,Standard,(802) 555-0188,
Individual,TRUE,5/23/1937,6/25/2021,Sales,Standard,(551) 555-0183,
Government,TRUE,5/28/1992,10/8/2021,Sales,Standard,(434) 555-0174,(225) 555-0143
Individual,TRUE,11/19/1946,8/1/2021,Sales,Standard,(318) 555-0187,(351) 555-0133
Individual,TRUE,6/19/1987,12/24/2022,Sales,VIP,(318) 555-0189,
Individual,TRUE,5/20/2004,8/8/2023,Sales,Premium,(228) 555-0145,(989) 555-0176
Government,TRUE,12/3/1979,1/25/2020,Sales,Standard,(323) 555-0152,(212) 555-0190
Business,TRUE,4/30/1966,4/21/2024,Sales,Premium,(724) 555-0128,
Individual,TRUE,4/26/1959,1/1/2020,Sales,Premium,+86 1000022,(424) 555-0177
Individual,TRUE,7/31/1997,6/29/2022,Services,Standard,(623) 555-0102,(915) 555-0116
Business,TRUE,7/31/1969,4/21/2024,Sales,Standard,(731) 555-0190,
Individual,TRUE,10/24/1966,5/20/2020,Sales,Standard,(773) 555-0119,(985) 555-0137
Individual,TRUE,6/7/1946,11/2/2024,Sales,Premium,(909) 555-0118,
Individual,TRUE,8/13/1964,10/9/2021,Sales,VIP,(661) 555-0142,(580) 555-0177
Individual,TRUE,7/22/1995,7/6/2020,Sales,VIP,(715) 555-0156,
Business,TRUE,12/9/1986,2/25/2023,Sales,Premium,(316) 555-0152,
Government,FALSE,10/24/1993,7/19/2020,Sales,VIP,(305) 555-0182,
Individual,TRUE,8/24/1966,2/24/2023,Sales,VIP,(737) 555-0141,
Individual,FALSE,11/5/1982,9/13/2020,Sales,Standard,(507) 555-0125,(361) 555-0157
Individual,TRUE,3/4/1984,8/26/2024,Sales,Standard,(402) 555-0127,
Business,TRUE,9/18/1998,6/30/2021,Sales,Premium,(772) 555-0138,
Business,TRUE,1/23/1998,7/12/2020,Sales,VIP,+81 1000023,+39 2000004
Business,TRUE,1/3/1961,12/3/2021,Sales,Premium,(614) 555-0141,
Business,TRUE,7/21/1975,2/1/2023,Sales,VIP,(980) 555-0197,+86 2000005
Individual,TRUE,5/15/1960,4/7/2024,Sales,Standard,(816) 555-0141,
Individual,TRUE,11/10/2001,7/12/2023,Sales,Premium,(818) 555-0171,
Individual,FALSE,9/30/1995,3/12/2022,Sales,Premium,(913) 555-0110,
Business,FALSE,7/21/1973,7/30/2022,Sales,Premium,+39 1000024,
Individual,FALSE,6/29/1966,11/8/2023,Sales,VIP,(614) 555-0111,
Individual,TRUE,11/7/1959,7/7/2023,Sales,Standard,(509) 555-0136,
Individual,TRUE,3/4/1962,2/17/2021,Sales,Standard,(415) 555-0179,
Individual,FALSE,7/13/1966,10/13/2023,Sales,Standard,(417) 555-0153,
Individual,TRUE,5/1/1968,1/3/2023,Sales,VIP,(510) 555-0103,
Individual,TRUE,8/1/1999,10/10/2023,Sales,Standard,(208) 555-0110,
Individual,TRUE,7/4/1967,5/26/2024,Sales,Standard,(781) 555-0144,
Individual,TRUE,12/5/2006,11/29/2024,Sales,Standard,(252) 555-0156,(660) 555-0197
Individual,FALSE,5/8/1976,6/28/2022,Services,Premium,(318) 555-0128,
Individual,TRUE,3/22/1958,7/6/2020,Sales,Premium,(630) 555-0113,
Business,TRUE,3/22/1950,9/4/2024,Sales,Standard,(956) 555-0191,
Individual,TRUE,12/2/1985,8/6/2023,Sales,Standard,+39 1000025,
Individual,TRUE,2/23/1973,2/14/2020,Sales,Premium,(405) 555-0188,
Business,TRUE,6/12/2000,5/15/2024,Sales,Premium,(478) 555-0146,
Individual,FALSE,9/23/2003,3/23/2020,Sales,Premium,(860) 555-0137,(772) 555-0106
Business,TRUE,9/23/1978,2/20/2023,Sales,Standard,(786) 555-0106,
Individual,TRUE,12/8/1991,12/23/2020,Sales,Premium,(770) 555-0140,
Individual,TRUE,7/28/1992,3/31/2024,Sales,Standard,(816) 555-0190,
Individual,FALSE,5/20/1928,12/25/2022,Sales,Premium,(201) 555-0152,
Individual,TRUE,1/25/1938,7/24/2022,Sales,Standard,(205) 555-0116,(334) 555-0199
Individual,FALSE,6/22/1988,8/7/2024,Sales,Standard,(801) 555-0103,
Individual,TRUE,1/21/1969,1/9/2021,Sales,Premium,(701) 555-0172,+61 2000006
Government,TRUE,4/2/1970,6/10/2020,Sales,Standard,(209) 555-0123,
Individual,TRUE,1/23/1972,11/4/2024,Sales,VIP,(858) 555-0142,
Business,TRUE,9/21/2006,11/4/2023,Services,Standard,(603) 555-0127,
Individual,TRUE,9/1/1951,8/6/2024,Sales,Standard,(218) 555-0198,+34 2000007
Business,TRUE,7/26/1956,10/13/2023,Sales,VIP,(714) 555-0130,(954) 555-0172
Individual,TRUE,6/3/1953,4/26/2023,Sales,Standard,(219) 555-0138,(603) 555-0141
Individual,FALSE,6/28/1993,11/17/2020,Sales,Standard,+55 1000026,
Individual,TRUE,12/15/1966,3/25/2021,Sales,VIP,(562) 555-0129,
Individual,TRUE,2/13/1970,2/6/2024,Sales,Standard,(754) 555-0165,
Business,FALSE,10/30/1984,11/2/2022,Services,Standard,(805) 555-0135,
Individual,TRUE,7/20/2005,7/2/2020,Sales,Standard,(704) 555-0170,(970) 555-0108
Individual,TRUE,5/3/1993,4/20/2020,Sales,Premium,(414) 555-0189,
Individual,FALSE,3/18/2006,5/22/2021,Sales,Premium,(360) 555-0143,
Individual,TRUE,10/25/1932,8/6/2023,Sales,VIP,(413) 555-0118,
Government,TRUE,1/4/1954,10/21/2020,Sales,Standard,(432) 555-0129,
Government,TRUE,6/14/2007,1/14/2024,Sales,Premium,(262) 555-0173,
Government,TRUE,3/9/2005,6/22/2022,Sales,Standard,(510) 555-0193,
Individual,TRUE,5/2/1995,5/23/2023,Sales,VIP,(860) 555-0120,(551) 555-0109
Individual,TRUE,4/25/1974,8/31/2022,Sales,Standard,(253) 555-0132,(469) 555-0185
Government,FALSE,12/12/1963,9/23/2021,Sales,VIP,(509) 555-0114,
Individual,TRUE,4/18/1922,5/9/2024,Sales,VIP,(660) 555-0153,
Government,TRUE,11/30/2002,11/16/2022,Sales,Premium,(567) 555-0142,
Government,TRUE,3/31/1985,7/11/2024,Sales,Premium,(713) 555-0132,
Business,TRUE,2/10/1989,1/2/2022,Sales,Standard,(432) 555-0110,(364) 555-0153
Individual,TRUE,2/24/1997,6/8/2023,Sales,Standard,(770) 555-0167,
Individual,TRUE,3/9/1985,5/7/2024,Sales,Standard,(425) 555-0187,
Business,TRUE,12/30/1999,1/4/2025,Sales,Standard,(660) 555-0105,
Individual,TRUE,12/1/2001,11/16/2020,Sales,Standard,(712) 555-0184,(740) 555-0171
Individual,FALSE,8/17/1969,7/1/2022,Sales,Standard,(601) 555-0194,
Individual,TRUE,4/4/1956,6/10/2023,Sales,Standard,(808) 555-0191,
Government,FALSE,2/5/1969,8/20/2024,Sales,Standard,(915) 555-0157,(205) 555-0138
Individual,TRUE,7/27/1973,3/12/2021,Sales,VIP,(781) 555-0168,
Individual,FALSE,7/5/1994,2/19/2022,Sales,Standard,(870) 555-0138,
Individual,TRUE,7/2/2003,4/5/2024,Sales,VIP,(517) 555-0102,
Individual,TRUE,6/6/1987,11/27/2023,Services,Standard,(253) 555-0178,
Government,TRUE,7/26/1998,12/12/2022,Sales,Standard,(502) 555-0137,
Individual,TRUE,1/13/2003,12/15/2024,Sales,VIP,(605) 555-0166,(636) 555-0154
Individual,TRUE,5/21/1958,8/29/2023,Sales,Premium,(516) 555-0183,(201) 555-0106
Business,TRUE,4/17/1963,7/28/2023,Sales,Standard,(702) 555-0184,
Business,TRUE,5/20/1997,12/26/2021,Sales,Standard,(570) 555-0186,
Individual,TRUE,10/30/1955,1/31/2020,Sales,Premium,(725) 555-0108,
Business,TRUE,12/18/1956,12/2/2020,Sales,Standard,(217) 555-0170,(603) 555-0165
Individual,TRUE,4/29/1967,7/1/2020,Sales,Standard,(937) 555-0123,
Individual,TRUE,10/13/1987,11/12/2022,Sales,Premium,(201) 555-0109,
Business,TRUE,8/9/1991,6/27/2021,Sales,Standard,+86 1000027,
Business,TRUE,12/16/1948,1/9/2024,Sales,Standard,(214) 555-0188,(872) 555-0133
Business,FALSE,2/26/1998,1/2/2023,Sales,Premium,(614) 555-0177,(702) 555-0133
Government,TRUE,5/28/1968,10/30/2022,Sales,Standard,(940) 555-0142,
Individual,TRUE,8/27/1974,2/16/2024,Sales,Standard,(240) 555-0117,(203) 555-0185
Individual,TRUE,1/28/1959,1/19/2024,Sales,VIP,+33 1000028,
Business,FALSE,3/5/1963,5/8/2024,Sales,Premium,(424) 555-0150,(425) 555-0147
Individual,TRUE,7/5/2007,5/6/2024,Services,Premium,(620) 555-0108,(205) 555-0109
Business,TRUE,9/23/2000,10/21/2021,Sales,Standard,(803) 555-0196,(564) 555-0182
Business,TRUE,3/24/1963,6/8/2020,Services,Standard,(864) 555-0197,
Business,TRUE,5/20/1991,3/20/2025,Sales,Standard,(207) 555-0179,
Individual,TRUE,4/11/1950,11/3/2022,Sales,Standard,+81 1000029,(239) 555-0103
Individual,FALSE,7/19/1931,4/16/2023,Sales,Standard,(919) 555-0168,
Individual,FALSE,10/5/1965,2/15/2021,Sales,VIP,(510) 555-0181,
Individual,TRUE,8/10/1954,3/16/2025,Sales,Premium,(341) 555-0173,
Individual,TRUE,12/17/1976,10/8/2022,Sales,Premium,(667) 555-0162,
Individual,FALSE,9/9/1968,2/22/2020,Sales,Premium,(505) 555-0154,
Individual,TRUE,3/17/1958,2/11/2021,Sales,Standard,(269) 555-0152,
Individual,TRUE,9/9/2004,4/26/2022,Sales,Standard,(216) 555-0144,(580) 555-0126
Individual,TRUE,2/10/1927,11/11/2022,Sales,Premium,(828) 555-0164,
Individual,TRUE,11/8/1996,11/19/2022,Services,Standard,(775) 555-0122,(907) 555-0176
Individual,TRUE,5/31/1995,12/3/2021,Sales,Standard,(931) 555-0181,
Business,TRUE,12/2/1976,9/16/2020,Services,Premium,(803) 555-0191,
Individual,FALSE,1/8/1993,5/13/2023,Sales,VIP,(971) 555-0118,
Individual,FALSE,9/8/1999,12/18/2022,Sales,Premium,(703) 555-0148,
Individual,TRUE,9/18/1950,2/3/2024,Sales,VIP,+49 1000030,
Business,TRUE,4/21/1920,2/14/2022,Sales,Standard,(646) 555-0179,
Individual,FALSE,1/24/1957,1/29/2024,Sales,VIP,(530) 555-0186,(785) 555-0168
Individual,FALSE,7/7/1924,11/1/2022,Sales,Premium,(608) 555-0115,
Individual,TRUE,2/21/1967,7/12/2024,Sales,Premium,(661) 555-0145,
Individual,FALSE,8/14/1987,8/6/2023,Sales,Standard,(775) 555-0184,(918) 555-0112
Individual,FALSE,7/12/2001,4/29/2022,Services,VIP,(412) 555-0124,
Individual,TRUE,6/11/1986,11/18/2024,Sales,VIP,(564) 555-0122,(541) 555-0144
Individual,TRUE,2/2/1980,12/19/2020,Sales,VIP,(618) 555-0176,(801) 555-0110
Business,TRUE,4/27/1993,7/20/2024,Sales,VIP,(810) 555-0120,
Government,TRUE,3/23/1935,1/3/2023,Sales,Premium,(415) 555-0146,(508) 555-0133
Individual,TRUE,6/11/1995,5/22/2022,Sales,Standard,(651) 555-0106,
Individual,FALSE,8/3/1975,10/5/2024,Sales,Premium,(564) 555-0190,(341) 555-0169
Business,TRUE,7/29/1989,5/3/2024,Sales,VIP,(484) 555-0156,(812) 555-0149
Individual,TRUE,9/5/1964,6/2/2024,Sales,Standard,(419) 555-0139,
Individual,TRUE,10/16/1966,1/4/2024,Sales,Premium,(402) 555-0148,
Individual,TRUE,5/3/1964,9/17/2022,Sales,Premium,(463) 555-0191,(423) 555-0169
Individual,FALSE,3/10/1942,6/18/2023,Sales,Premium,(240) 555-0157,
Government,TRUE,10/21/1983,10/14/2022,Services,Standard,(564) 555-0174,
Business,TRUE,11/27/1969,2/27/2025,Sales,VIP,(281) 555-0105,
Individual,TRUE,9/20/1960,3/23/2023,Sales,Standard,(585) 555-0165,
Individual,TRUE,10/26/1966,12/14/2024,Sales,Standard,+81 1000031,(313) 555-0151
Individual,TRUE,9/2/1991,1/24/2023,Sales,VIP,(810) 555-0123,(563) 555-0117
Individual,TRUE,11/16/1988,10/15/2024,Sales,Standard,(850) 555-0187,
Individual,TRUE,6/24/1953,10/20/2020,Sales,Premium,(717) 555-0100,(573) 555-0178
Individual,TRUE,4/15/1950,7/27/2020,Services,VIP,(530) 555-0197,(408) 555-0186
Business,TRUE,10/24/1988,9/28/2023,Sales,Standard,+33 1000032,(628) 555-0197
Individual,TRUE,5/6/1982,1/16/2023,Services,Standard,(772) 555-0124,
Individual,FALSE,7/21/1968,3/28/2022,Services,Standard,(551) 555-0141,
