CustomerId,CustomerTypeId,CustomerRelationshipTypeId,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy
CID-023,Individual,VIP,1995-11-08,2018-09-24,True,Georgijs,Baltins,Male,(714) 555-0128,,georgijs@contoso.com,,Sales
CID-024,Individual,Premium,1924-05-19,2021-03-09,True,Malik,Barden,Male,(470) 555-0176,,malik@contoso.com,,Sales
CID-025,Individual,Standard,1989-11-02,2018-09-03,True,Carmelo,Barese,Male,(816) 555-0117,,carmelo@contoso.com,,Sales
CID-026,Business,SMB,1958-01-26,2019-01-30,True,Rebecca,Baresi,Female,(907) 555-0107,,rebecca@contoso.com,,Sales
CID-027,Individual,Standard,1993-05-05,2019-04-21,True,Genevieve,Beauchesne,Female,(706) 555-0137,,genevieve@contoso.com,,Sales
CID-028,Individual,VIP,1976-01-09,2020-09-03,True,Claude,Beaulieu,Female,(678) 555-0126,,claude@contoso.com,,Sales
CID-029,Individual,Premium,1929-11-10,2021-04-22,True,Robin,Becker,Male,(934) 555-0111,,robin@contoso.com,,Sales
CID-030,Individual,Standard,1981-01-24,2020-11-09,True,Noel,Belisle,Male,(959) 555-0190,,noel@contoso.com,,Sales
CID-031,Individual,Premium,1964-06-13,2019-07-12,True,Omar,Bennett,Male,(331) 555-0173,,omar@contoso.com,,Sales
CID-032,Individual,Premium,1952-09-09,2020-10-14,True,Kahsay,Bereket,Male,(628) 555-0194,,kahsay@contoso.com,kahsay@fabrikam.com,Sales
CID-033,Individual,Standard,1962-02-11,2020-06-01,True,Eden,Berhe,Female,(586) 555-0115,(561) 555-0259,eden@contoso.com,,Sales
CID-034,Government,Local,1996-11-28,2018-05-27,True,Marie,Berthelette,Female,(878) 555-0112,(757) 555-0283,marie@contoso.com,,Services
CID-035,Government,State,1996-09-02,2019-10-28,True,Pol,Bertolich,Male,(973) 555-0174,,pol@contoso.com,,Services
CID-036,Business,SMB,1990-08-25,2021-08-20,True,Francesca,Bianchi,Female,(714) 555-0120,,francesca@contoso.com,,Sales
CID-037,Individual,Premium,1965-08-28,2019-09-12,True,Jausma,Bite,Male,(973) 555-0185,,jausma@contoso.com,,Sales
CID-038,Individual,Premium,1991-11-05,2020-03-30,True,Ales,Bizjak,Male,(636) 555-0130,,ales@contoso.com,,Sales
CID-039,Individual,VIP,1981-06-05,2020-05-13,True,Jana,Blazkova,Female,(505) 555-0148,,jana@contoso.com,jana@fabrikam.com,Sales
CID-040,Individual,Premium,1986-12-05,2019-08-05,True,Emma,Blug,Female,(707) 555-0178,,emma@contoso.com,,Services
CID-041,Individual,Premium,1928-08-13,2020-10-19,True,Gilbert,Bonsaint,Male,(904) 555-0157,(715) 555-0256,gilbert@contoso.com,,Sales
CID-042,Individual,VIP,1970-03-26,2019-11-26,True,Wojciech,Borkowski,Male,(203) 555-0179,(316) 555-0252,wojciech@contoso.com,,Sales
CID-043,Individual,Standard,1959-02-08,2021-06-05,True,Maurice,Boule,Male,(731) 555-0184,,maurice@contoso.com,,Sales
CID-044,Government,Local,1954-01-06,2021-01-30,True,Alexis,Bourgeois,Female,(520) 555-0109,(737) 555-0241,alexis@contoso.com,,Services
CID-045,Individual,Standard,1983-08-28,2021-12-11,True,Archie,Boyle,Male,(240) 555-0167,,archie@contoso.com,,Sales
CID-046,Individual,Premium,1951-09-13,2021-05-24,True,Tomaz,Bozic,Male,(331) 555-0128,(402) 555-0227,tomaz@contoso.com,tomaz@fabrikam.com,Sales
CID-047,Individual,Premium,1974-05-10,2019-02-11,True,Danielle,Brasseur,Female,(225) 555-0142,,danielle@contoso.com,danielle@fabrikam.com,Sales
CID-048,Individual,Premium,1972-06-28,2019-02-03,True,Amala,Braun,Female,(385) 555-0160,,amala@contoso.com,,Sales
CID-049,Individual,Standard,1956-10-25,2019-12-16,True,Leonie,Briegel,Female,(612) 555-0119,,leonie@contoso.com,,Sales
CID-050,Individual,Standard,1976-10-10,2019-12-05,True,Quincy,Brooks,Male,(312) 555-0182,,quincy@contoso.com,,Sales
CID-051,Government,Local,1946-07-31,2020-01-31,True,Angel,Brown,Female,(574) 555-0197,,angel@contoso.com,angel@fabrikam.com,Services
CID-052,Business,SMB,1997-12-07,2019-05-14,True,Camille,Brunelle,Female,(707) 555-0127,(917) 555-0225,camille@contoso.com,,Sales
CID-053,Government,State,1986-11-17,2020-08-31,True,Filippa,Bruno,Female,(731) 555-0162,(213) 555-0237,filippa@contoso.com,,Sales
CID-054,Business,SMB,1959-02-28,2018-03-23,True,Yuksel,Bulut,Male,(315) 555-0120,,yuksel@contoso.com,,Sales
CID-055,Individual,Standard,1954-03-16,2019-08-27,True,Pavel,Bures,Male,(918) 555-0149,(816) 555-0241,pavel@contoso.com,,Sales
CID-056,Government,Federal,1969-07-10,2020-02-11,True,Jaroslava,Buresova,Female,(860) 555-0141,(818) 555-0271,jaroslava@contoso.com,jaroslava@fabrikam.com,Services
CID-057,Individual,Standard,1965-12-28,2020-06-21,True,Victoria,Burke,Female,(636) 555-0124,,victoria@contoso.com,,Services
CID-058,Individual,Premium,1962-06-04,2018-12-31,True,Klaus,Buzov,Male,(216) 555-0174,,klaus@contoso.com,,Sales
CID-059,Individual,Premium,1963-02-04,2018-06-12,True,Martin,Cahua,Male,(970) 555-0110,,martin@contoso.com,,Sales
CID-060,Individual,Standard,1982-12-22,2020-12-07,True,Tuna,Cakir,Male,(716) 555-0117,,tuna@contoso.com,,Sales
CID-061,Individual,Premium,1998-06-26,2019-05-26,True,Quinn,Campbell,Female,(615) 555-0154,,quinn@contoso.com,,Sales
CID-062,Individual,VIP,1981-02-14,2021-09-14,True,Seyhan,Can,Male,(706) 555-0181,(614) 555-0211,seyhan@contoso.com,,Sales
CID-063,Business,Partner,1934-04-27,2018-04-26,True,Sam,Cantrell,Female,(386) 555-0120,,sam@contoso.com,,Sales
CID-064,Individual,Standard,1987-07-29,2020-07-29,True,Cataldo,Capon,Male,(563) 555-0186,,cataldo@contoso.com,,Sales
CID-065,Individual,VIP,1993-03-11,2018-12-03,True,Christian,Cartier,Male,(325) 555-0188,(415) 555-0279,christian@contoso.com,,Sales
CID-066,Individual,Premium,1973-02-14,2020-05-30,True,Pere,Castellsegui,Male,(706) 555-0173,(417) 555-0253,pere@contoso.com,,Sales
CID-067,Individual,Standard,1995-01-03,2020-01-07,True,Gianni,Castiglione,Male,(337) 555-0170,,gianni@contoso.com,,Sales
CID-068,Business,SMB,1960-07-29,2020-04-19,True,Hanife,Celik,Female,(909) 555-0164,,hanife@contoso.com,,Sales
CID-069,Individual,VIP,1947-02-15,2018-05-27,True,Izabella,Celma,Male,(586) 555-0175,,izabella@contoso.com,,Sales
CID-070,Government,Local,1977-11-27,2021-09-08,True,Sarmis,Celms,Male,(775) 555-0146,,sarmis@contoso.com,,Services
CID-071,Business,SMB,1955-08-28,2019-03-19,True,Hana,Cermakova,Female,(769) 555-0192,,hana@contoso.com,,Sales
CID-072,Individual,Premium,1952-05-27,2020-04-16,True,Ivana,Cervenkova,Female,(585) 555-0149,,ivana@contoso.com,,Sales
CID-073,Individual,Standard,1927-09-05,2020-11-02,True,Hacer,Cetin,Female,(503) 555-0132,,hacer@contoso.com,,Sales
CID-074,Business,SMB,1945-10-28,2020-07-31,True,Alain,Charon,Male,(325) 555-0142,(940) 555-0227,alain@contoso.com,,Sales
CID-075,Business,SMB,1965-03-17,2018-10-14,True,Alexandre,Chauvin,Male,(763) 555-0111,,alexandre@contoso.com,,Sales
CID-076,Business,SMB,1987-02-15,2019-12-21,True,Josef,Cizek,Male,(985) 555-0119,,josef@contoso.com,josef@fabrikam.com,Sales
CID-077,Business,SMB,1972-08-28,2021-02-11,True,Hailey,Clark,Female,(805) 555-0137,,hailey@contoso.com,,Sales
CID-078,Individual,Standard,1982-05-08,2019-04-25,True,Bartomeu,Collelldemont,Male,(561) 555-0127,,bartomeu@contoso.com,,Sales
CID-079,Individual,Premium,1953-02-20,2018-01-22,True,Diego,Conticini,Male,(708) 555-0189,(920) 555-0277,diego@contoso.com,diego@fabrikam.com,Sales
CID-080,Individual,Standard,1970-12-21,2021-10-04,True,Hayden,Cook,Female,(430) 555-0112,(929) 555-0266,hayden@contoso.com,hayden@fabrikam.com,Sales
CID-081,Business,SMB,1943-04-14,2019-11-14,False,Liane,Cormier,Female,(979) 555-0148,,liane@contoso.com,,Services
CID-082,Individual,VIP,1969-07-17,2020-06-24,True,Pupetta,Costa,Female,(816) 555-0165,,pupetta@contoso.com,,Sales
CID-083,Individual,Premium,1979-04-09,2018-11-16,True,Gilbert,Coupart,Male,(978) 555-0153,,gilbert@contoso.com,,Services
CID-084,Individual,Premium,1977-06-21,2018-05-06,True,Ingrid,Cranz,Female,(248) 555-0174,(786) 555-0250,ingrid@contoso.com,,Services
CID-085,Individual,Standard,1975-08-11,2018-10-04,True,Maciej,Czarnecki,Male,(608) 555-0119,(310) 555-0252,maciej@contoso.com,,Sales
CID-086,Individual,Standard,1929-08-21,2021-05-12,True,Joanna,Dabrowska,Female,(209) 555-0128,,joanna@contoso.com,,Sales
CID-087,Business,SMB,1981-06-11,2018-07-13,True,Mikolaj,Dabrowski,Male,(985) 555-0189,,mikolaj@contoso.com,,Sales
CID-088,Individual,Standard,1966-12-06,2019-11-27,True,Beca,Davies,Female,(769) 555-0183,(414) 555-0288,beca@contoso.com,beca@fabrikam.com,Sales
CID-089,Business,SMB,1935-06-19,2021-08-02,True,Alain,Davignon,Male,(508) 555-0154,,alain@contoso.com,,Sales
CID-090,Individual,Standard,1982-12-25,2018-02-26,True,Liam,Davis,Male,(601) 555-0145,,liam@contoso.com,,Sales
CID-091,Individual,Standard,1984-06-22,2021-08-19,True,Benito,Dellucci,Male,(831) 555-0106,,benito@contoso.com,benito@fabrikam.com,Sales
CID-092,Business,SMB,1966-10-08,2021-04-01,True,Merve,Demir,Female,(308) 555-0158,(573) 555-0256,merve@contoso.com,,Services
CID-093,Business,SMB,1966-02-01,2018-01-19,True,Isabelle,Deniger,Female,(847) 555-0155,,isabelle@contoso.com,isabelle@fabrikam.com,Sales
CID-094,Individual,Standard,1986-01-13,2021-10-25,True,Montserrat,Desriols,Female,(615) 555-0152,,montserrat@contoso.com,,Sales
CID-095,Business,SMB,1977-07-02,2018-09-21,True,Esteve,Desvalls,Male,(781) 555-0187,,esteve@contoso.com,,Sales
CID-096,Individual,Premium,1932-10-18,2020-03-04,True,Gabriel,Diaz,Male,(904) 555-0172,,gabriel@contoso.com,,Sales
CID-097,Individual,Premium,1957-07-12,2018-04-23,True,Vlasta,Divisova,Female,(702) 555-0183,(715) 555-0233,vlasta@contoso.com,,Sales
CID-098,Individual,Standard,1988-03-27,2021-09-12,True,Fadime,Dogan,Female,(979) 555-0180,(562) 555-0242,fadime@contoso.com,,Sales
CID-099,Individual,Premium,1993-09-07,2019-06-26,True,Rene,Dolejsi,Female,(847) 555-0194,,rene@contoso.com,,Sales
CID-100,Individual,Premium,1958-02-12,2019-10-09,True,Albert,Dubois,Male,(512) 555-0156,(361) 555-0293,albert@contoso.com,,Sales
CID-101,Individual,Standard,1949-12-30,2019-08-02,True,Maciej,Dudek,Male,(914) 555-0178,,maciej@contoso.com,,Services
CID-102,Individual,VIP,1952-11-07,2020-12-24,True,Ewa,Dudzinska,Female,(432) 555-0193,(209) 555-0223,ewa@contoso.com,,Sales
CID-103,Individual,VIP,1983-04-06,2021-08-08,True,Daina,Dumina,Male,(934) 555-0152,,daina@contoso.com,,Sales
CID-104,Individual,Standard,1973-03-31,2018-01-25,False,Laimonis,Dumins,Male,(512) 555-0111,,laimonis@contoso.com,,Sales
CID-105,Government,Local,1957-11-18,2018-01-01,True,Audrey,Dumoulin,Female,(929) 555-0163,(951) 555-0231,audrey@contoso.com,,Services
CID-106,Individual,Premium,1976-12-13,2020-06-29,True,Coralie,Duperre,Female,(213) 555-0197,,coralie@contoso.com,coralie@fabrikam.com,Sales
CID-107,Individual,Premium,1948-10-19,2018-02-06,True,Aline,Dupuy,Female,(361) 555-0157,,aline@contoso.com,aline@fabrikam.com,Services
CID-108,Business,SMB,1942-08-29,2018-05-21,True,Dominique,Dutertre,Male,(972) 555-0119,(218) 555-0298,dominique@contoso.com,,Sales
CID-109,Individual,Standard,1967-03-12,2019-10-10,True,Zdenek,Dvorak,Male,(314) 555-0187,(714) 555-0230,zdenek@contoso.com,,Sales
CID-110,Individual,Standard,1981-03-22,2018-07-07,True,Niks,Dzenis,Female,(316) 555-0114,,niks@contoso.com,,Sales
CID-111,Individual,Premium,1958-11-03,2021-02-25,True,Logan,Edwards,Male,(410) 555-0102,(301) 555-0203,logan@contoso.com,logan@fabrikam.com,Sales
CID-112,Individual,Premium,1948-03-29,2018-01-01,True,Simons,Eglitis,Female,(979) 555-0139,(937) 555-0274,simons@contoso.com,,Sales
CID-113,Government,Local,1984-01-07,2019-07-01,True,Werner,Eitner,Male,(364) 555-0139,,werner@contoso.com,,Services
CID-114,Business,SMB,1969-05-31,2018-07-13,True,Daniel,Elfyn,Male,(832) 555-0155,,daniel@contoso.com,,Sales
CID-115,Individual,Premium,1975-04-05,2019-12-04,True,Bethan,Elis,Female,(501) 555-0163,,bethan@contoso.com,,Sales
CID-116,Business,SMB,1955-04-28,2018-04-14,True,Turgay,Elmas,Male,(425) 555-0193,,turgay@contoso.com,,Sales
CID-117,Business,SMB,1950-03-09,2021-07-12,True,Elke,Endemann,Female,(320) 555-0159,(878) 555-0200,elke@contoso.com,,Sales
CID-118,Individual,Premium,1946-02-04,2020-03-12,True,YishaK,Epherem,Male,(573) 555-0138,,yishak@contoso.com,,Sales
CID-119,Business,Premier,1965-04-06,2020-07-30,True,Tatjana,Erjavec,Female,(252) 555-0148,,tatjana@contoso.com,,Sales
CID-120,Individual,Premium,1948-03-26,2018-01-04,True,Quarantino,Esposito,Male,(520) 555-0112,,quarantino@contoso.com,,Sales
CID-121,Business,SMB,1934-03-13,2019-02-18,True,Jamie,Evans,Female,(270) 555-0125,,jamie@contoso.com,,Sales
CID-122,Business,SMB,1978-01-03,2021-10-13,True,Giselle,Faber,Female,(413) 555-0103,,giselle@contoso.com,,Sales
CID-123,Individual,Standard,1963-07-10,2021-01-03,True,Giorgia,Fanucci,Female,(806) 555-0181,,giorgia@contoso.com,,Sales
CID-124,Individual,Premium,1985-02-23,2021-10-10,True,Amleset,Fitwi,Female,(636) 555-0187,,amleset@contoso.com,amleset@fabrikam.com,Sales
CID-125,Individual,Standard,1961-09-30,2020-06-28,True,Annette,Flamand,Female,(937) 555-0101,,annette@contoso.com,,Sales
CID-126,Individual,Standard,1952-08-07,2018-07-07,True,Elizabeth,Flores,Female,(256) 555-0110,,elizabeth@contoso.com,,Sales
CID-127,Business,SMB,1997-07-06,2021-08-06,True,Sara,Folgueroles,Female,(434) 555-0161,(262) 555-0273,sara@contoso.com,,Sales
CID-128,Business,SMB,1974-09-28,2018-02-14,True,Carme,Fontbernat,Female,(719) 555-0109,,carme@contoso.com,,Services
CID-129,Individual,Standard,1962-05-31,2018-03-24,True,Michal,Formanek,Male,(541) 555-0123,,michal@contoso.com,,Sales
CID-130,Individual,Standard,1987-08-04,2021-02-20,True,Renata,Fuchsova,Female,(503) 555-0159,(860) 555-0220,renata@contoso.com,,Services
CID-131,Individual,Standard,1931-11-10,2018-12-24,True,Isabel,Garcia,Female,(602) 555-0164,(253) 555-0232,isabel@contoso.com,,Sales
CID-132,Individual,Standard,1985-10-29,2020-12-25,True,Amelie,Garner,Female,(862) 555-0194,,amelie@contoso.com,,Sales
CID-133,Individual,VIP,1969-09-01,2020-07-24,True,Niklas,Gasper,Male,(478) 555-0152,,niklas@contoso.com,niklas@fabrikam.com,Sales
CID-134,Individual,Premium,1991-11-12,2019-01-10,True,Hiwot,Gebre Gergis,Female,(708) 555-0197,,hiwot@contoso.com,,Sales
CID-135,Government,State,1979-12-25,2018-06-11,True,Aberehet,Gebre Tsadik,Female,(915) 555-0121,(660) 555-0253,aberehet@contoso.com,,Services
CID-136,Individual,Premium,1952-05-12,2021-11-04,True,Lelia,Genovese,Female,(417) 555-0147,(567) 555-0242,lelia@contoso.com,,Sales
CID-137,Individual,Premium,1950-08-12,2019-10-18,True,Wolde Mariam,Girmay,Male,(224) 555-0175,,wolde mariam@contoso.com,,Sales
CID-138,Business,SMB,1952-06-12,2021-10-13,True,Meaza,Goitom,Female,(478) 555-0114,,meaza@contoso.com,,Sales
CID-139,Individual,Premium,1979-02-14,2021-04-26,True,Milan,Golob,Male,(641) 555-0112,,milan@contoso.com,,Services
CID-140,Government,State,1962-04-26,2018-11-18,True,Mateo,Gomez,Male,(260) 555-0108,,mateo@contoso.com,mateo@fabrikam.com,Sales
CID-141,Government,State,1964-06-05,2019-03-26,True,Aaron,Gonzales,Male,(302) 555-0119,(213) 555-0267,aaron@contoso.com,aaron@fabrikam.com,Services
CID-142,Individual,Standard,1941-01-17,2020-11-02,True,Kasper,Graf,Male,(801) 555-0190,(727) 555-0297,kasper@contoso.com,,Sales
CID-143,Individual,Standard,1987-10-20,2018-07-03,True,Fiamma,Greco,Female,(408) 555-0176,,fiamma@contoso.com,,Sales
CID-144,Individual,Standard,1922-11-11,2018-04-21,True,Manon,Griffiths,Female,(765) 555-0172,,manon@contoso.com,,Sales
CID-145,Individual,Standard,1974-02-25,2019-05-23,True,Jacqueline,Grondin,Female,(281) 555-0182,,jacqueline@contoso.com,,Sales
CID-146,Individual,Premium,1952-11-18,2021-08-06,False,Marta,Guanyavents,Female,(864) 555-0198,,marta@contoso.com,,Sales
CID-147,Individual,Premium,1961-04-23,2018-10-22,True,Louisa,Guenther,Female,(312) 555-0117,,louisa@contoso.com,,Sales
CID-148,Individual,Standard,1954-04-16,2020-06-22,False,Charlie,Guibord,Male,(984) 555-0167,,charlie@contoso.com,,Sales
CID-149,Individual,VIP,1923-08-18,2021-05-23,True,Ayse,Guler,Female,(714) 555-0188,,ayse@contoso.com,,Services
CID-150,Individual,Premium,1991-06-05,2020-08-31,True,Meltem,Gumus,Female,(808) 555-0161,,meltem@contoso.com,,Sales
CID-151,Government,Local,1931-02-01,2019-09-24,True,Faruk,Gunes,Male,(815) 555-0105,,faruk@contoso.com,,Services
CID-152,Individual,Standard,1973-11-10,2020-11-16,True,Halit,Gungor,Male,(402) 555-0159,,halit@contoso.com,,Sales
CID-153,Individual,Standard,1981-01-26,2020-01-03,True,Killian,Gunther,Male,(920) 555-0194,(512) 555-0248,killian@contoso.com,killian@fabrikam.com,Sales
CID-154,Individual,Standard,1959-01-12,2021-06-08,True,Tito,Guzmán,Male,(562) 555-0138,,tito@contoso.com,,Sales
CID-155,Government,Local,1974-04-01,2018-11-17,True,Renata,Hall,Female,(364) 555-0124,(781) 555-0268,renata@contoso.com,,Services
CID-156,Individual,Standard,1968-05-16,2020-07-01,True,Frantisek,Hanak,Male,(620) 555-0158,,frantisek@contoso.com,frantisek@fabrikam.com,Sales
CID-157,Individual,Standard,1973-12-02,2021-06-10,True,Jacob,Hancock,Male,(718) 555-0137,,jacob@contoso.com,,Services
CID-158,Business,SMB,1940-09-01,2019-03-13,True,Daniela,Hanzlova,Female,(513) 555-0191,(984) 555-0214,daniela@contoso.com,,Sales
CID-159,Individual,VIP,1951-09-21,2020-02-20,True,Libby,Harrison,Female,(317) 555-0193,,libby@contoso.com,,Services
CID-160,Business,SMB,1958-11-04,2021-11-27,True,Maja,Hartmann,Female,(561) 555-0197,(916) 555-0291,maja@contoso.com,maja@fabrikam.com,Sales
CID-161,Individual,Premium,1961-04-06,2020-12-12,False,Marta,Havrankova,Female,(765) 555-0121,(269) 555-0205,marta@contoso.com,,Sales
CID-162,Individual,Standard,1965-02-13,2021-08-29,True,Hannah,Haynes,Female,(434) 555-0137,,hannah@contoso.com,,Sales
CID-163,Individual,VIP,1980-11-01,2021-07-28,True,Josephine,Hebert,Female,(737) 555-0171,,josephine@contoso.com,,Sales
CID-164,Individual,Standard,1992-09-21,2019-12-27,True,Jule,Heinrich,Female,(712) 555-0105,,jule@contoso.com,,Sales
CID-165,Individual,Standard,1987-10-07,2018-01-31,True,Detlef,Hembrock,Male,(762) 555-0131,,detlef@contoso.com,,Sales
CID-166,Business,Partner,1980-12-29,2018-12-03,True,Felix,Henderson,Male,(443) 555-0109,(516) 555-0283,felix@contoso.com,felix@fabrikam.com,Sales
CID-167,Individual,VIP,1950-01-03,2018-07-02,True,Briana,Hernandez,Female,(904) 555-0158,,briana@contoso.com,briana@fabrikam.com,Sales
CID-168,Individual,Premium,1973-11-03,2020-11-12,True,Coralie,Hetu,Female,(401) 555-0148,(308) 555-0207,coralie@contoso.com,,Sales
CID-169,Individual,Standard,1985-10-02,2019-06-28,True,Ana,Hocevar,Female,(959) 555-0192,,ana@contoso.com,,Sales
CID-170,Individual,Standard,1996-05-26,2021-01-02,True,Vaclav,Holy,Male,(903) 555-0168,,vaclav@contoso.com,,Sales
CID-171,Individual,Premium,1944-06-28,2020-10-30,True,Tereza,Horackova,Female,(717) 555-0151,,tereza@contoso.com,,Services
CID-172,Individual,VIP,1973-09-12,2019-10-22,True,Janez,Horvat,Male,(540) 555-0140,,janez@contoso.com,janez@fabrikam.com,Sales
CID-173,Individual,Premium,1951-05-15,2018-06-09,True,Karel,Hovorka,Male,(959) 555-0184,,karel@contoso.com,,Sales
CID-174,Individual,Premium,1984-11-16,2020-11-03,True,Avery,Howard,Female,(865) 555-0183,(217) 555-0270,avery@contoso.com,,Sales
CID-175,Individual,Standard,1953-02-12,2021-04-16,True,Jarmila,Hrdlickova,Female,(215) 555-0144,(937) 555-0223,jarmila@contoso.com,,Sales
CID-176,Individual,Premium,1933-05-23,2019-02-16,True,Aljosa,Hribar,Female,(540) 555-0141,,aljosa@contoso.com,aljosa@fabrikam.com,Sales
CID-177,Individual,Standard,1983-05-28,2020-10-08,True,Andreja,Hrovat,Female,(505) 555-0148,,andreja@contoso.com,,Services
CID-178,Individual,Standard,1942-11-19,2018-02-22,True,Jose,Huaman,Male,(934) 555-0176,,jose@contoso.com,,Sales
CID-179,Government,Local,1978-06-19,2019-02-12,True,Shawn,Hughes,Male,(929) 555-0123,,shawn@contoso.com,,Services
CID-180,Individual,Premium,1995-05-20,2020-04-26,True,Aidan,Hunt,Male,(323) 555-0171,,aidan@contoso.com,,Sales
CID-181,Individual,Standard,1970-12-03,2020-11-11,True,Cai,Huws,Male,(802) 555-0122,,cai@contoso.com,,Sales
CID-182,Individual,Standard,1957-04-30,2020-11-19,False,Vlastimil,Hybl,Male,(662) 555-0171,,vlastimil@contoso.com,,Sales
CID-183,Government,State,1950-04-26,2019-12-04,True,Gerolamo,Iadanza,Male,(914) 555-0158,,gerolamo@contoso.com,,Services
CID-184,Business,SMB,1988-07-31,2018-09-17,True,Christiane,Ingenpass,Female,(502) 555-0158,,christiane@contoso.com,,Sales
CID-185,Individual,Premium,1960-07-31,2021-05-13,True,Jessie,Irwin,Male,(919) 555-0138,,jessie@contoso.com,,Sales
CID-186,Individual,Standard,1957-10-24,2020-12-18,True,Anthony,Ivanov,Male,(815) 555-0127,,anthony@contoso.com,anthony@fabrikam.com,Sales
CID-187,Business,SMB,1942-06-07,2020-02-15,True,Abigail,Jackson,Female,(716) 555-0115,(940) 555-0242,abigail@contoso.com,abigail@fabrikam.com,Sales
CID-188,Individual,Premium,1955-08-13,2020-11-01,True,Alena,Jankova,Female,(202) 555-0181,,alena@contoso.com,,Services
CID-189,Individual,Standard,1986-07-22,2021-08-06,False,Nikola,Janu,Male,(956) 555-0112,,nikola@contoso.com,,Sales
CID-190,Individual,Standard,1977-12-09,2020-04-29,True,Hannah,Jarvis,Female,(434) 555-0192,(717) 555-0212,hannah@contoso.com,,Sales
CID-191,Individual,Standard,1984-10-24,2018-12-20,False,Hanna,Jasinska,Female,(845) 555-0193,(952) 555-0217,hanna@contoso.com,,Sales
CID-192,Business,SMB,1957-08-24,2021-01-03,True,Aira,Jaunzema,Female,(919) 555-0142,,aira@contoso.com,,Sales
CID-193,Government,Federal,1973-11-05,2020-05-22,True,Irena,Jaworska,Female,(430) 555-0120,(424) 555-0250,irena@contoso.com,,Services
CID-194,Individual,Standard,1975-03-04,2020-09-17,True,Casey,Jensen,Male,(503) 555-0154,,casey@contoso.com,,Sales
CID-195,Individual,Premium,1989-09-18,2021-06-18,False,Alenka,Jereb,Female,(508) 555-0114,,alenka@contoso.com,,Sales
